"EXTF";700;21;"Buchungsstapel";12;;;"";"";"";1;1;20260101;4;20260501;20260531;"Mai 2026";"";1;0;0;"EUR"
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basisumsatz;WKZ Basisumsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext
8900,00;"S";;;;;4210;1200;;0105;"";;;"Miete Werk und Buero Gewerbepark Flensburg"
775,00;"S";;;;;1000;8300;;0105;"";;;"Barverkauf Werksverkauf"
21420,00;"S";;;;;1200;8400;;0405;"RE-2026-0951";;;"ZE Hotel Seeblick GmbH"
1180,00;"S";;;;;4360;1200;;0505;"";;;"Versicherungspaket Betrieb"
380,00;"S";;;;;4530;1200;;0505;"";;;"Tankrechnung Fuhrpark"
12480,00;"S";;;;;3400;1200;;0605;"RE-P-77501";;;"Zahlung Holz Petersen GmbH"
1850,00;"S";;;;;0420;1200;;0605;"";;;"Bueroeinrichtung Empfang"
290,00;"S";;;;;4930;1200;;0705;"";;;"Buerobedarf Boie"
480,00;"S";;;;;4230;1200;;0805;"";;;"Heizoel Abschlag"
790,00;"S";;;;;1000;8300;;0805;"";;;"Barverkauf Werksverkauf"
17850,00;"S";;;;;1200;8400;;1105;"RE-2026-0963";;;"ZE Möbelhaus Kern GmbH"
2140,00;"S";;;;;3300;1200;;1105;"";;;"Wareneingang 7 Prozent Stoffe"
6240,00;"S";;;;;1780;1200;;1105;"";;;"USt-VA 03/2026 Dauerfrist"
5120,00;"S";;;;;1741;1200;;1105;"";;;"LSt 04/2026"
800,00;"S";;;;;1200;1000;;1105;"";;;"Bareinzahlung Kasse"
1350,00;"S";;;;;4240;1200;;1205;"";;;"Stadtwerke Flensburg Abschlag"
4500,00;"S";;;;;0320;1200;;1205;"";;;"Anzahlung Transporter"
9520,00;"S";;;;;3400;1200;;1305;"RE-L-4302";;;"Zahlung Lackierwerk Brandt GmbH"
750,00;"S";;;;;4600;1200;;1305;"";;;"Anzeigen Fachzeitschrift"
620,00;"S";;;;;4250;1200;;1405;"";;;"Unterhaltsreinigung Blitz GmbH"
640,00;"S";;;;;2100;1200;;1505;"";;;"Darlehenszinsen Nordbank"
2100,00;"S";;;;;0630;1200;;1505;"";;;"Tilgung Darlehen Nordbank"
2850,00;"S";;;;;4320;1200;;1505;"";;;"GewSt-Vorauszahlung Q2/2026"
760,00;"S";;;;;1000;8300;;1505;"";;;"Barverkauf Werksverkauf"
14280,00;"S";;;;;1200;8400;;1805;"RE-2026-0970";;;"ZE Objekt Living AG"
3570,00;"S";;;;;3100;1200;;1805;"";;;"Fremdleistung Oberflaechenveredelung"
1240,00;"S";;;;;4900;1200;;1805;"";;;"Frachten Spedition Voss"
800,00;"S";;;;;1200;1000;;1805;"";;;"Bareinzahlung Kasse"
410,00;"S";;;;;4920;1200;;1905;"";;;"TeleNord Telefon und Internet"
8500,00;"S";;;;;1200;1400;;2005;"";;;"ZE Sammelkonto Forderungen"
1900,00;"S";;;;;4138;1200;;2005;"";;;"Berufsgenossenschaft Umlage 2025"
7140,00;"S";;;;;3400;1200;;2105;"RE-N-1188";;;"Zahlung Beschläge Nielsen KG"
420,00;"S";;;;;4670;1200;;2105;"";;;"Reisekosten Messe Hamburg"
380,00;"S";;;;;4530;1200;;2205;"";;;"Tankrechnung Fuhrpark"
775,00;"S";;;;;1000;8300;;2205;"";;;"Barverkauf Werksverkauf"
11900,00;"S";;;;;1200;8400;;2505;"RE-2026-0978";;;"ZE Küchenstudio Lund"
3800,00;"S";;;;;1600;1200;;2505;"";;;"Zahlung Verbindlichkeitenkonto Sammler"
980,00;"S";;;;;4955;1200;;2505;"";;;"Buchfuehrung Steuerberatung Petersen"
800,00;"S";;;;;1200;1000;;2505;"";;;"Bareinzahlung Kasse"
6900,00;"S";;;;;0210;1200;;2605;"";;;"Ersatzspindel CNC-Fraese"
9860,00;"S";;;;;1742;1200;;2705;"";;;"SV-Beitraege 05/2026"
240,00;"S";;;;;4650;1200;;2705;"";;;"Bewirtung Kundentermin"
16500,00;"S";;;;;4110;1200;;2805;"";;;"Lohnlauf 05/2026"
11200,00;"S";;;;;4120;1200;;2805;"";;;"Gehaltslauf 05/2026"
85,00;"S";;;;;4970;1200;;2805;"";;;"Kontofuehrung Nordbank"
790,00;"S";;;;;1000;8300;;2905;"";;;"Barverkauf Werksverkauf"
