"EXTF";700;21;"Buchungsstapel";12;;;"";"";"";1;1;20260101;4;20260601;20260630;"Juni 2026";"";1;0;0;"EUR"
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basisumsatz;WKZ Basisumsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext
8900,00;"S";;;;;4210;1200;;0106;"";;;"Miete Werk und Buero Gewerbepark Flensburg"
800,00;"S";;;;;1200;1000;;0106;"";;;"Bareinzahlung Kasse"
19040,00;"S";;;;;1200;8400;;0406;"RE-2026-0989";;;"ZE Hotel Seeblick GmbH"
1180,00;"S";;;;;4360;1200;;0506;"";;;"Versicherungspaket Betrieb"
380,00;"S";;;;;4530;1200;;0506;"";;;"Tankrechnung Fuhrpark"
820,00;"S";;;;;1000;8300;;0506;"";;;"Barverkauf Werksverkauf"
10710,00;"S";;;;;3400;1200;;0806;"RE-P-77644";;;"Zahlung Holz Petersen GmbH"
290,00;"S";;;;;4930;1200;;0806;"";;;"Buerobedarf Boie"
480,00;"S";;;;;4230;1200;;0806;"";;;"Heizoel Abschlag"
800,00;"S";;;;;1200;1000;;0806;"";;;"Bareinzahlung Kasse"
2140,00;"S";;;;;3300;1200;;0906;"";;;"Wareneingang 7 Prozent Stoffe"
6980,00;"S";;;;;1780;1200;;1006;"";;;"USt-VA 04/2026 Dauerfrist"
5080,00;"S";;;;;1741;1200;;1006;"";;;"LSt 05/2026"
1600,00;"S";;;;;2200;1200;;1006;"";;;"KSt-Vorauszahlung 2026"
340,00;"S";;;;;4380;1200;;1006;"";;;"IHK-Beitrag Halbjahr"
16660,00;"S";;;;;1200;8400;;1106;"RE-2026-0994";;;"ZE Ferienpark Ostsee GmbH"
45,00;"S";;;;;4930;1000;;1106;"";;;"Briefmarken bar"
1350,00;"S";;;;;4240;1200;;1206;"";;;"Stadtwerke Flensburg Abschlag"
790,00;"S";;;;;1000;8300;;1206;"";;;"Barverkauf Werksverkauf"
8330,00;"S";;;;;3400;1200;;1506;"RE-L-4361";;;"Zahlung Lackierwerk Brandt GmbH"
620,00;"S";;;;;4250;1200;;1506;"";;;"Unterhaltsreinigung Blitz GmbH"
640,00;"S";;;;;2100;1200;;1506;"";;;"Darlehenszinsen Nordbank"
2100,00;"S";;;;;0630;1200;;1506;"";;;"Tilgung Darlehen Nordbank"
800,00;"S";;;;;1200;1000;;1506;"";;;"Bareinzahlung Kasse"
3570,00;"S";;;;;3100;1200;;1606;"";;;"Fremdleistung Oberflaechenveredelung"
1450,00;"S";;;;;4800;1200;;1606;"";;;"Reparatur Absauganlage"
2400,00;"S";;;;;1200;2700;;1606;"";;;"Versicherungserstattung Wasserschaden"
1240,00;"S";;;;;4900;1200;;1706;"";;;"Frachten Spedition Voss"
13090,00;"S";;;;;1200;8400;;1806;"RE-2026-1003";;;"ZE Möbelhaus Kern GmbH"
410,00;"S";;;;;4920;1200;;1906;"";;;"TeleNord Telefon und Internet"
805,00;"S";;;;;1000;8300;;1906;"";;;"Barverkauf Werksverkauf"
7200,00;"S";;;;;1200;1400;;2206;"";;;"ZE Sammelkonto Forderungen"
5950,00;"S";;;;;3400;1200;;2206;"RE-N-1240";;;"Zahlung Beschläge Nielsen KG"
380,00;"S";;;;;4530;1200;;2206;"";;;"Tankrechnung Fuhrpark"
800,00;"S";;;;;1200;1000;;2206;"";;;"Bareinzahlung Kasse"
310,00;"S";;;;;4670;1200;;2206;"";;;"Reisekosten Kundendienst"
3800,00;"S";;;;;1600;1200;;2306;"";;;"Zahlung Verbindlichkeitenkonto Sammler"
6500,00;"S";;;;;1200;8120;;2306;"RE-2026-1008";;;"ZE Moebler Aalborg Export Daenemark"
980,00;"S";;;;;4955;1200;;2406;"";;;"Buchfuehrung Steuerberatung Petersen"
750,00;"S";;;;;4130;1200;;2406;"";;;"Nachzahlung SV-Pruefung"
9520,00;"S";;;;;1200;8400;;2506;"RE-2026-1011";;;"ZE Objekt Living AG"
2500,00;"S";;;;;4950;1200;;2506;"";;;"Sanierungsberatung Kanzlei Feddersen"
9740,00;"S";;;;;1742;1200;;2606;"";;;"SV-Beitraege 06/2026"
16500,00;"S";;;;;4110;1200;;2606;"";;;"Lohnlauf 06/2026"
11200,00;"S";;;;;4120;1200;;2606;"";;;"Gehaltslauf 06/2026"
85,00;"S";;;;;4970;1200;;2606;"";;;"Kontofuehrung Nordbank"
820,00;"S";;;;;1000;8300;;2606;"";;;"Barverkauf Werksverkauf"
800,00;"S";;;;;1200;1000;;2906;"";;;"Bareinzahlung Kasse"
