"EXTF";700;21;"Buchungsstapel";12;;;"";"";"";1;1;20260101;4;20260701;20260731;"Juli 2026";"";1;0;0;"EUR"
Umsatz (ohne Soll/Haben-Kz);Soll/Haben-Kennzeichen;WKZ Umsatz;Kurs;Basisumsatz;WKZ Basisumsatz;Konto;Gegenkonto (ohne BU-Schlüssel);BU-Schlüssel;Belegdatum;Belegfeld 1;Belegfeld 2;Skonto;Buchungstext
8900,00;"S";;;;;4210;1200;;0107;"";;;"Miete Werk und Buero Gewerbepark Flensburg"
820,00;"S";;;;;1000;8300;;0307;"";;;"Barverkauf Werksverkauf"
16070,00;"S";;;;;1200;8400;;0607;"RE-2026-1019";;;"ZE Küchenstudio Lund"
8925,00;"S";;;;;3400;1200;;0607;"RE-P-77719";;;"Zahlung Holz Petersen GmbH"
1180,00;"S";;;;;4360;1200;;0607;"";;;"Versicherungspaket Betrieb"
380,00;"S";;;;;4530;1200;;0607;"";;;"Tankrechnung Fuhrpark"
800,00;"S";;;;;1200;1000;;0607;"";;;"Bareinzahlung Kasse"
290,00;"S";;;;;4930;1200;;0707;"";;;"Buerobedarf Boie"
480,00;"S";;;;;4230;1200;;0807;"";;;"Heizoel Abschlag"
2140,00;"S";;;;;3300;1200;;0907;"";;;"Wareneingang 7 Prozent Stoffe"
4800,00;"S";;;;;4950;1200;;0907;"";;;"Sanierungsberatung Kanzlei Feddersen"
6510,00;"S";;;;;1780;1200;;1007;"";;;"USt-VA 05/2026 Dauerfrist"
5190,00;"S";;;;;1741;1200;;1007;"";;;"LSt 06/2026"
835,00;"S";;;;;1000;8300;;1007;"";;;"Barverkauf Werksverkauf"
1200,00;"S";;;;;1200;8200;;1007;"";;;"Erloes Verkauf Altmaschine"
13685,00;"S";;;;;1200;8400;;1307;"RE-2026-1024";;;"ZE Hotel Seeblick GmbH"
7735,00;"S";;;;;3400;1200;;1307;"RE-N-1301";;;"Zahlung Beschläge Nielsen KG"
1350,00;"S";;;;;4240;1200;;1307;"";;;"Stadtwerke Flensburg Abschlag"
890,00;"S";;;;;4540;1200;;1307;"";;;"Kfz-Versicherung Halbjahr"
800,00;"S";;;;;1200;1000;;1307;"";;;"Bareinzahlung Kasse"
620,00;"S";;;;;4250;1200;;1407;"";;;"Unterhaltsreinigung Blitz GmbH"
640,00;"S";;;;;2100;1200;;1507;"";;;"Darlehenszinsen Nordbank"
2100,00;"S";;;;;0630;1200;;1507;"";;;"Tilgung Darlehen Nordbank"
3570,00;"S";;;;;3100;1200;;1607;"";;;"Fremdleistung Oberflaechenveredelung"
96,50;"S";;;;;4650;1000;;1607;"";;;"Bewirtung bar"
1240,00;"S";;;;;4900;1200;;1707;"";;;"Frachten Spedition Voss"
850,00;"S";;;;;1000;8300;;1707;"";;;"Barverkauf Werksverkauf"
10710,00;"S";;;;;1200;8400;;2007;"RE-2026-1030";;;"ZE Tischlerei Matz"
6100,00;"S";;;;;1200;1400;;2007;"";;;"ZE Sammelkonto Forderungen"
410,00;"S";;;;;4920;1200;;2007;"";;;"TeleNord Telefon und Internet"
800,00;"S";;;;;1200;1000;;2007;"";;;"Bareinzahlung Kasse"
1980,00;"S";;;;;1200;8300;;2007;"RE-2026-1032";;;"ZE Tischlerei Matz Zuschnitt"
4760,00;"S";;;;;3400;1200;;2107;"RE-A-2210";;;"Zahlung Furnierhandel Asmussen"
380,00;"S";;;;;4805;1200;;2107;"";;;"Reparatur Druckerstrasse"
380,00;"S";;;;;4530;1200;;2207;"";;;"Tankrechnung Fuhrpark"
3800,00;"S";;;;;1600;1200;;2307;"";;;"Zahlung Verbindlichkeitenkonto Sammler"
980,00;"S";;;;;4955;1200;;2407;"";;;"Buchfuehrung Steuerberatung Petersen"
820,00;"S";;;;;1000;8300;;2407;"";;;"Barverkauf Werksverkauf"
8925,00;"S";;;;;1200;8400;;2707;"RE-2026-1036";;;"ZE Möbelhaus Kern GmbH"
800,00;"S";;;;;1200;1000;;2707;"";;;"Bareinzahlung Kasse"
16500,00;"S";;;;;4110;1200;;2807;"";;;"Lohnlauf 07/2026"
11200,00;"S";;;;;4120;1200;;2807;"";;;"Gehaltslauf 07/2026"
85,00;"S";;;;;4970;1200;;2807;"";;;"Kontofuehrung Nordbank"
9812,00;"S";;;;;1742;1200;;2907;"";;;"SV-Beitraege 07/2026"
