Konto;Jahr;Monat;Betrag
8400;2025;8;103365,90
8300;2025;8;7765,56
3400;2025;8;-43235,28
3300;2025;8;-2728,44
3100;2025;8;-5142,06
4110;2025;8;-16500,00
4120;2025;8;-11200,00
4130;2025;8;-6300,00
4210;2025;8;-8900,00
4240;2025;8;-1350,00
4920;2025;8;-410,00
4930;2025;8;-290,00
8400;2025;9;102966,98
8300;2025;9;7735,59
3400;2025;9;-43068,42
3300;2025;9;-2717,91
3100;2025;9;-5122,22
4110;2025;9;-16500,00
4120;2025;9;-11200,00
4130;2025;9;-6300,00
4210;2025;9;-8900,00
4240;2025;9;-1350,00
4920;2025;9;-410,00
4930;2025;9;-290,00
8400;2025;10;99485,00
8300;2025;10;7474,00
3400;2025;10;-41612,00
3300;2025;10;-2626,00
3100;2025;10;-4949,00
4110;2025;10;-16500,00
4120;2025;10;-11200,00
4130;2025;10;-6300,00
4210;2025;10;-8900,00
4240;2025;10;-1350,00
4920;2025;10;-410,00
4930;2025;10;-290,00
8400;2025;11;96052,28
8300;2025;11;7216,11
3400;2025;11;-40176,18
3300;2025;11;-2535,39
3100;2025;11;-4778,24
4110;2025;11;-16500,00
4120;2025;11;-11200,00
4130;2025;11;-6300,00
4210;2025;11;-8900,00
4240;2025;11;-1350,00
4920;2025;11;-410,00
4930;2025;11;-290,00
8400;2025;12;95505,60
8300;2025;12;7175,04
3400;2025;12;-39947,52
3300;2025;12;-2520,96
3100;2025;12;-4751,04
4110;2025;12;-16500,00
4120;2025;12;-11200,00
4130;2025;12;-6300,00
4210;2025;12;-8900,00
4240;2025;12;-1350,00
4920;2025;12;-410,00
4930;2025;12;-290,00
8400;2026;1;92097,50
8300;2026;1;6919,00
3400;2026;1;-38522,00
3300;2026;1;-2431,00
3100;2026;1;-4581,50
4110;2026;1;-16500,00
4120;2026;1;-11200,00
4130;2026;1;-6300,00
4210;2026;1;-8900,00
4240;2026;1;-1350,00
4920;2026;1;-410,00
4930;2026;1;-290,00
8400;2026;2;88738,65
8300;2026;2;6666,66
3400;2026;2;-37117,08
3300;2026;2;-2342,34
3100;2026;2;-4414,41
4110;2026;2;-16500,00
4120;2026;2;-11200,00
4130;2026;2;-6300,00
4210;2026;2;-8900,00
4240;2026;2;-1350,00
4920;2026;2;-410,00
4930;2026;2;-290,00
8400;2026;3;88044,22
8300;2026;3;6614,49
3400;2026;3;-36826,62
3300;2026;3;-2324,01
3100;2026;3;-4379,86
4110;2026;3;-16500,00
4120;2026;3;-11200,00
4130;2026;3;-6300,00
4210;2026;3;-8900,00
4240;2026;3;-1350,00
4920;2026;3;-410,00
4930;2026;3;-290,00
8400;2026;4;84710,00
8300;2026;4;6364,00
3400;2026;4;-35432,00
3300;2026;4;-2236,00
3100;2026;4;-4214,00
4110;2026;4;-16500,00
4120;2026;4;-11200,00
4130;2026;4;-6300,00
4210;2026;4;-8900,00
4240;2026;4;-1350,00
4920;2026;4;-410,00
4930;2026;4;-290,00
8400;2026;5;81425,02
8300;2026;5;6117,21
3400;2026;5;-34057,98
3300;2026;5;-2149,29
3100;2026;5;-4050,58
4110;2026;5;-16500,00
4120;2026;5;-11200,00
4130;2026;5;-6300,00
4210;2026;5;-8900,00
4240;2026;5;-1350,00
4920;2026;5;-410,00
4930;2026;5;-290,00
8400;2026;6;80582,85
8300;2026;6;6053,94
3400;2026;6;-33705,72
3300;2026;6;-2127,06
3100;2026;6;-4008,69
4110;2026;6;-16500,00
4120;2026;6;-11200,00
4130;2026;6;-6300,00
4210;2026;6;-8900,00
4240;2026;6;-1350,00
4920;2026;6;-410,00
4930;2026;6;-290,00
8400;2026;7;77322,50
8300;2026;7;5809,00
3400;2026;7;-32342,00
3300;2026;7;-2041,00
3100;2026;7;-3846,50
4110;2026;7;-16500,00
4120;2026;7;-11200,00
4130;2026;7;-6300,00
4210;2026;7;-8900,00
4240;2026;7;-1350,00
4920;2026;7;-410,00
4930;2026;7;-290,00
